epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.48493,1.06727,3.69028,2.95992,1.25891,0.78476,0.90962,0.94424,0.68731,0.72514,0.85,0.85362,0.57004,1.52915,2.52356,1.05341,1.33565,0,0,0
2,8.63295,0.98319,2.18444,2.38794,1.19968,0.79445,0.90773,0.94167,0.68597,0.73672,0.85,0.85115,0.56972,1.52789,2.52997,1.05661,1.33747,1.1311e-06,1.1311e-06,1.1311e-06
3,10.8445,0.70199,3.25946,2.97321,1.13988,0.77569,0.91213,0.93851,0.68013,0.71356,0.85,0.8495,0.57098,1.53183,2.52372,1.0649,1.33687,2.14438e-06,2.14438e-06,2.14438e-06
4,12.8783,0.81309,2.05174,2.56424,1.1826,0.77281,0.91644,0.93962,0.68733,0.70636,0.85,0.84991,0.57455,1.52127,2.51674,1.05914,1.32654,3.03986e-06,3.03986e-06,3.03986e-06
5,14.9167,1.18039,3.01357,2.99494,1.52895,0.76593,0.92398,0.94133,0.68856,0.69196,0.85,0.85006,0.57413,1.51927,2.51151,1.06175,1.32542,3.81752e-06,3.81752e-06,3.81752e-06
6,17.089,0.88016,3.27082,3.28706,1.24366,0.75259,0.93333,0.94181,0.68062,0.66968,0.85,0.84997,0.56993,1.52466,2.51375,1.07492,1.33345,4.47737e-06,4.47737e-06,4.47737e-06
7,19.6306,0.94207,2.73903,2.4214,1.24307,0.7277,0.93333,0.94171,0.67313,0.64995,0.85,0.85001,0.57219,1.53527,2.51312,1.07188,1.34091,5.01942e-06,5.01942e-06,5.01942e-06
8,21.8525,0.70146,1.84934,2.51226,1.15631,0.73006,0.93696,0.9437,0.67381,0.65082,0.85,0.84986,0.57221,1.53126,2.51017,1.08583,1.3411,5.44365e-06,5.44365e-06,5.44365e-06
9,24.0399,0.97776,2.59561,1.90357,1.16429,0.72019,0.94476,0.94413,0.67396,0.63549,0.85,0.84989,0.55337,1.528,2.50823,1.08496,1.33698,5.75008e-06,5.75008e-06,5.75008e-06
10,26.1077,0.82911,2.86165,2.47071,1.16818,0.67863,0.95,0.9441,0.67892,0.59621,0.85,0.85012,0.55408,1.54584,2.50984,1.1073,1.34353,5.9387e-06,5.9387e-06,5.9387e-06
11,28.1735,0.80565,2.61876,1.83293,1.24486,0.68735,0.95,0.94398,0.67913,0.60443,0.85,0.85261,0.55206,1.54126,2.51622,1.09906,1.34354,6.0095e-06,6.0095e-06,6.0095e-06
12,30.2955,0.99172,2.7081,2.09538,1.34582,0.64957,0.91646,0.91762,0.67732,0.60149,0.85,0.85153,0.55125,1.55408,2.5257,1.09572,1.35359,5.9625e-06,5.9625e-06,5.9625e-06
13,32.364,0.78147,2.31168,1.56311,1.15569,0.64847,0.92019,0.91727,0.6606,0.59758,0.85,0.8512,0.55126,1.56563,2.53166,1.09489,1.35997,5.79768e-06,5.79768e-06,5.79768e-06
14,34.4073,0.67291,2.1683,1.4572,1.05879,0.64417,0.9242,0.91727,0.66058,0.59065,0.85,0.85113,0.5512,1.56877,2.5347,1.1062,1.36078,5.51505e-06,5.51505e-06,5.51505e-06
15,36.6059,0.79918,1.83985,1.40422,1.14618,0.64662,0.92237,0.91714,0.67404,0.59422,0.85,0.84893,0.55091,1.58822,2.54046,1.10319,1.36895,5.11462e-06,5.11462e-06,5.11462e-06
16,38.608,0.87152,2.01428,1.18129,1.20125,0.64578,0.92331,0.91707,0.67401,0.59282,0.85,0.84867,0.55084,1.59919,2.54543,1.09769,1.37547,4.59638e-06,4.59638e-06,4.59638e-06
17,40.5949,0.58722,1.80652,1.10947,1.02686,0.63456,0.92439,0.91721,0.67407,0.58233,0.85,0.84859,0.55082,1.60381,2.55034,1.09775,1.38012,3.96032e-06,3.96032e-06,3.96032e-06
18,42.7968,0.74756,2.27902,1.02619,1.08714,0.63456,0.92439,0.91721,0.67407,0.58233,0.85,0.84859,0.55082,1.60381,2.55034,1.09775,1.38012,3.20646e-06,3.20646e-06,3.20646e-06
19,45.0664,0.81248,2.02195,1.23097,1.04845,0.63247,0.92393,0.91689,0.67378,0.56643,0.83333,0.83384,0.54993,1.60377,2.55432,1.10115,1.3833,2.33478e-06,2.33478e-06,2.33478e-06
20,47.1589,0.68339,1.84628,1.14049,1.03276,0.63247,0.92393,0.91689,0.67378,0.56643,0.83333,0.83384,0.54993,1.60377,2.55432,1.10115,1.3833,1.3453e-06,1.3453e-06,1.3453e-06
